weight,mag_pct,subject,pen_mult,n_seizures,tp,fp,n_ref,n_hyp,sensitivity,precision,f1,fp_per_day,fp_rate_full,mean_lat_s,n_inter_h
new_decision19,55.0,chb14,0.3,8,7,140,8,273,0.875,0.047619047619047616,0.09032258064516129,129.50194852468846,129.23076923076923,8.0,25.95
new_decision19,55.0,chb14,0.5,8,7,128,8,206,0.875,0.05185185185185185,0.0979020979020979,118.40178150828658,118.15384615384616,13.714285714285714,25.95
new_decision19,55.0,chb14,1.0,8,7,97,8,133,0.875,0.0673076923076923,0.125,89.72635004924842,89.53846153846155,13.714285714285714,25.95
new_decision19,55.0,chb14,2.0,8,5,55,8,74,0.625,0.08333333333333333,0.14705882352941177,50.87576549184189,50.769230769230774,6.4,25.95
new_decision19,55.0,chb14,5.0,8,2,19,8,24,0.25,0.09523809523809523,0.13793103448275862,17.57526444263629,17.53846153846154,-14.0,25.95
new_decision19,55.0,chb14,10.0,8,1,13,8,15,0.125,0.07142857142857142,0.09090909090909091,12.025180934435355,12.0,-16.0,25.95
new_decision19,60.0,chb14,0.3,8,7,134,8,243,0.875,0.04964539007092199,0.09395973154362416,123.95186501648752,123.69230769230771,8.0,25.95
new_decision19,60.0,chb14,0.5,8,7,114,8,184,0.875,0.05785123966942149,0.10852713178294573,105.45158665581774,105.23076923076924,13.714285714285714,25.95
new_decision19,60.0,chb14,1.0,8,7,86,8,119,0.875,0.07526881720430108,0.13861386138613863,79.55119695088005,79.38461538461539,13.714285714285714,25.95
new_decision19,60.0,chb14,2.0,8,4,50,8,66,0.5,0.07407407407407407,0.12903225806451613,46.25069590167445,46.15384615384616,-3.0,25.95
new_decision19,60.0,chb14,5.0,8,2,17,8,22,0.25,0.10526315789473684,0.14814814814814814,15.725236606569311,15.692307692307693,-14.0,25.95
new_decision19,60.0,chb14,10.0,8,1,11,8,13,0.125,0.08333333333333333,0.1,10.175153098368378,10.153846153846155,-16.0,25.95
new_decision19,65.0,chb14,0.3,8,7,116,8,214,0.875,0.056910569105691054,0.10687022900763359,107.30161449188472,107.07692307692308,8.0,25.95
new_decision19,65.0,chb14,0.5,8,7,101,8,163,0.875,0.06481481481481481,0.1206896551724138,93.4264057213824,93.23076923076924,13.714285714285714,25.95
new_decision19,65.0,chb14,1.0,8,7,75,8,105,0.875,0.08536585365853659,0.15555555555555556,69.37604385251167,69.23076923076924,13.714285714285714,25.95
new_decision19,65.0,chb14,2.0,8,4,43,8,58,0.5,0.0851063829787234,0.14545454545454545,39.77559847544003,39.69230769230769,-3.0,25.95
new_decision19,65.0,chb14,5.0,8,1,14,8,18,0.125,0.06666666666666667,0.08695652173913043,12.950194852468844,12.923076923076923,-16.0,25.95
new_decision19,65.0,chb14,10.0,8,1,10,8,12,0.125,0.09090909090909091,0.10526315789473684,9.25013918033489,9.230769230769232,-16.0,25.95
new_decision19,70.0,chb14,0.3,8,7,100,8,185,0.875,0.06542056074766354,0.12173913043478261,92.5013918033489,92.30769230769232,13.714285714285714,25.95
new_decision19,70.0,chb14,0.5,8,7,87,8,141,0.875,0.07446808510638298,0.13725490196078433,80.47621086891354,80.3076923076923,13.714285714285714,25.95
new_decision19,70.0,chb14,1.0,8,5,66,8,90,0.625,0.07042253521126761,0.12658227848101267,61.05091859021027,60.92307692307693,10.4,25.95
new_decision19,70.0,chb14,2.0,8,4,37,8,50,0.5,0.0975609756097561,0.16326530612244897,34.22551496723909,34.15384615384615,-3.0,25.95
new_decision19,70.0,chb14,5.0,8,1,12,8,16,0.125,0.07692307692307693,0.09523809523809523,11.100167016401867,11.076923076923078,-16.0,25.95
new_decision19,70.0,chb14,10.0,8,1,8,8,10,0.125,0.1111111111111111,0.11764705882352941,7.400111344267911,7.384615384615385,-16.0,25.95
new_decision19,75.0,chb14,0.3,8,7,81,8,156,0.875,0.07954545454545454,0.14583333333333334,74.9261273607126,74.76923076923077,13.714285714285714,25.95
new_decision19,75.0,chb14,0.5,8,6,73,8,119,0.75,0.0759493670886076,0.13793103448275862,67.52601601644469,67.38461538461539,18.0,25.95
new_decision19,75.0,chb14,1.0,8,5,56,8,76,0.625,0.08196721311475409,0.14492753623188406,51.800779409875375,51.69230769230769,10.4,25.95
new_decision19,75.0,chb14,2.0,8,2,31,8,41,0.25,0.06060606060606061,0.0975609756097561,28.67543145903816,28.615384615384617,-22.0,25.95
